Date;FlowCode;ProductCode;LocationCode;Volume
19/01/2018;6;1;7;25535
26/01/2018;6;1;7;26517
02/02/2018;6;1;7;26369
09/02/2018;6;1;7;27318
16/02/2018;6;1;7;27323
23/02/2018;6;1;7;27079
02/03/2018;6;1;7;27601
09/03/2018;6;1;7;28098
16/03/2018;6;1;7;27449
23/03/2018;6;1;7;25258
30/03/2018;6;1;7;23465
06/04/2018;6;1;7;22181
13/04/2018;6;1;7;20551
20/04/2018;2;1;1;356
27/04/2018;2;1;1;354
04/05/2018;2;1;1;385
20/04/2018;3;1;1;70
27/04/2018;3;1;1;61
04/05/2018;3;1;1;83
20/04/2018;5;1;1;1077
27/04/2018;5;1;1;1144
04/05/2018;5;1;1;1153
20/04/2018;6;1;1;35882
27/04/2018;6;1;1;32838
04/05/2018;6;1;1;32148
20/04/2018;6;1;7;19209
27/04/2018;6;1;7;17821
04/05/2018;6;1;7;16812
02/12/2011;6;2;1;57223
09/12/2011;6;2;1;59102
16/12/2011;6;2;1;57759
23/12/2011;6;2;1;57751
30/12/2011;6;2;1;56738
06/01/2012;6;2;1;57985
13/01/2012;6;2;1;59092
20/01/2012;6;2;1;59926
27/01/2012;6;2;1;62626
03/02/2012;6;2;1;62633
10/02/2012;6;2;1;61903
17/02/2012;6;2;1;64093
24/02/2012;6;2;1;62573
02/03/2012;6;2;1;61484
09/03/2012;6;2;1;62123
16/03/2012;6;2;1;60499
23/03/2012;6;2;1;58691
30/03/2012;6;2;1;58856
06/04/2012;6;2;1;56937
13/04/2012;6;2;1;54633
20/04/2012;6;2;1;54298
27/04/2012;6;2;1;53453
04/05/2012;6;2;1;53729
11/05/2012;6;2;1;53680
18/05/2012;6;2;1;53606
25/05/2012;6;2;1;53831
01/06/2012;6;2;1;54787
08/06/2012;6;2;1;53774
15/06/2012;6;2;1;54299
22/06/2012;6;2;1;54108
29/06/2012;6;2;1;52361
06/07/2012;6;2;1;53459
13/07/2012;6;2;1;52219
20/07/2012;6;2;1;54100
27/07/2012;6;2;1;52811
03/08/2012;6;2;1;51676
10/08/2012;6;2;1;49896
17/08/2012;6;2;1;49575
24/08/2012;6;2;1;49463
31/08/2012;6;2;1;49842
07/09/2012;6;2;1;50071
14/09/2012;6;2;1;47768
21/09/2012;6;2;1;46811
28/09/2012;6;2;1;46146
05/10/2012;6;2;1;45118
12/10/2012;6;2;1;46753
19/10/2012;6;2;1;48094
26/10/2012;6;2;1;47892
02/11/2012;6;2;1;46643
09/11/2012;6;2;1;45107
16/11/2012;6;2;1;46110
23/11/2012;6;2;1;47361
30/11/2012;6;2;1;47873
07/12/2012;6;2;1;49572
14/12/2012;6;2;1;49127
21/12/2012;6;2;1;51108
28/12/2012;6;2;1;51971
04/01/2013;6;2;1;52933
11/01/2013;6;2;1;53454
18/01/2013;6;2;1;53948
25/01/2013;6;2;1;55191
01/02/2013;6;2;1;58069
08/02/2013;6;2;1;59773
15/02/2013;6;2;1;59548
22/02/2013;6;2;1;59812
01/03/2013;6;2;1;60463
08/03/2013;6;2;1;59914
15/03/2013;6;2;1;59798
22/03/2013;6;2;1;58934
29/03/2013;6;2;1;57765
05/04/2013;6;2;1;59306
12/04/2013;6;2;1;59980
19/04/2013;6;2;1;60550
26/04/2013;6;2;1;61725
03/05/2013;6;2;1;61543
10/05/2013;6;2;1;63348
17/05/2013;6;2;1;63581
24/05/2013;6;2;1;62740
31/05/2013;6;2;1;60914
07/06/2013;6;2;1;63778
14/06/2013;6;2;1;62273
21/06/2013;6;2;1;63835
28/06/2013;6;2;1;62991
05/07/2013;6;2;1;62639
12/07/2013;6;2;1;62480
19/07/2013;6;2;1;61068
26/07/2013;6;2;1;60290
02/08/2013;6;2;1;61661
09/08/2013;6;2;1;61284
16/08/2013;6;2;1;58542
23/08/2013;6;2;1;58296
30/08/2013;6;2;1;58260
06/09/2013;6;2;1;56820
13/09/2013;6;2;1;56074
20/09/2013;6;2;1;54406
27/09/2013;6;2;1;55968
04/10/2013;6;2;1;58364
11/10/2013;6;2;1;57070
18/10/2013;6;2;1;57168
25/10/2013;6;2;1;56058
01/11/2013;6;2;1;54021
08/11/2013;6;2;1;52813
15/11/2013;6;2;1;52419
22/11/2013;6;2;1;53515
29/11/2013;6;2;1;54267
06/12/2013;6;2;1;57309
13/12/2013;6;2;1;56534
20/12/2013;6;2;1;56234
27/12/2013;6;2;1;57249
03/01/2014;6;2;1;59425
10/01/2014;6;2;1;62787
17/01/2014;6;2;1;62731
24/01/2014;6;2;1;63728
31/01/2014;6;2;1;64602
07/02/2014;6;2;1;63545
14/02/2014;6;2;1;63036
21/02/2014;6;2;1;61234
28/02/2014;6;2;1;59541
07/03/2014;6;2;1;58362
14/03/2014;6;2;1;56505
21/03/2014;6;2;1;57058
28/03/2014;6;2;1;55119
04/04/2014;6;2;1;53899
11/04/2014;6;2;1;54158
18/04/2014;6;2;1;54059
25/04/2014;6;2;1;54153
02/05/2014;6;2;1;54466
09/05/2014;6;2;1;55513
16/05/2014;6;2;1;56766
23/05/2014;6;2;1;59235
30/05/2014;6;2;1;60606
06/06/2014;6;2;1;60821
13/06/2014;6;2;1;62175
20/06/2014;6;2;1;62035
27/06/2014;6;2;1;60733
04/07/2014;6;2;1;61992
11/07/2014;6;2;1;60591
18/07/2014;6;2;1;60232
25/07/2014;6;2;1;60008
01/08/2014;6;2;1;58417
08/08/2014;6;2;1;57969
15/08/2014;6;2;1;58644
22/08/2014;6;2;1;57553
29/08/2014;6;2;1;56963
05/09/2014;6;2;1;57147
12/09/2014;6;2;1;54603
19/09/2014;6;2;1;55454
26/09/2014;6;2;1;53550
03/10/2014;6;2;1;54909
10/10/2014;6;2;1;52331
17/10/2014;6;2;1;52156
24/10/2014;6;2;1;50771
31/10/2014;6;2;1;51129
07/11/2014;6;2;1;50337
14/11/2014;6;2;1;49894
21/11/2014;6;2;1;49461
28/11/2014;6;2;1;50150
05/12/2014;6;2;1;52355
12/12/2014;6;2;1;53717
19/12/2014;6;2;1;57118
26/12/2014;6;2;1;57653
02/01/2015;6;2;1;62390
09/01/2015;6;2;1;64150
16/01/2015;6;2;1;66008
23/01/2015;6;2;1;64278
30/01/2015;6;2;1;68533
06/02/2015;6;2;1;69407
13/02/2015;6;2;1;70441
20/02/2015;6;2;1;69590
27/02/2015;6;2;1;67574
06/03/2015;6;2;1;68006
13/03/2015;6;2;1;67054
20/03/2015;6;2;1;66076
27/03/2015;6;2;1;64353
03/04/2015;6;2;1;64377
10/04/2015;6;2;1;62952
17/04/2015;6;2;1;63348
24/04/2015;6;2;1;63725
01/05/2015;6;2;1;64424
08/05/2015;6;2;1;63239
15/05/2015;6;2;1;62288
22/05/2015;6;2;1;60450
29/05/2015;6;2;1;61277
05/06/2015;6;2;1;58696
12/06/2015;6;2;1;59111
19/06/2015;6;2;1;59578
26/06/2015;6;2;1;59856
03/07/2015;6;2;1;60474
10/07/2015;6;2;1;62075
17/07/2015;6;2;1;60803
24/07/2015;6;2;1;59980
31/07/2015;6;2;1;59821
07/08/2015;6;2;1;59213
14/08/2015;6;2;1;59535
21/08/2015;6;2;1;60401
28/08/2015;6;2;1;59818
04/09/2015;6;2;1;57409
11/09/2015;6;2;1;60780
18/09/2015;6;2;1;58232
25/09/2015;6;2;1;60251
02/10/2015;6;2;1;63237
09/10/2015;6;2;1;63547
16/10/2015;6;2;1;61800
23/10/2015;6;2;1;62438
30/10/2015;6;2;1;60850
06/11/2015;6;2;1;58282
13/11/2015;6;2;1;57628
20/11/2015;6;2;1;58339
27/11/2015;6;2;1;57303
04/12/2015;6;2;1;57360
11/12/2015;6;2;1;58726
18/12/2015;6;2;1;56908
25/12/2015;6;2;1;57293
01/01/2016;6;2;1;59768
08/01/2016;6;2;1;62906
15/01/2016;6;2;1;61998
22/01/2016;6;2;1;64945
29/01/2016;6;2;1;67701
05/02/2016;6;2;1;68763
12/02/2016;6;2;1;70473
19/02/2016;6;2;1;72233
26/02/2016;6;2;1;70855
04/03/2016;6;2;1;68510
11/03/2016;6;2;1;69247
18/03/2016;6;2;1;66708
25/03/2016;6;2;1;64871
01/04/2016;6;2;1;65906
08/04/2016;6;2;1;63544
15/04/2016;6;2;1;65139
22/04/2016;6;2;1;66437
29/04/2016;6;2;1;68816
06/05/2016;6;2;1;66646
13/05/2016;6;2;1;66044
20/05/2016;6;2;1;68276
27/05/2016;6;2;1;67636
03/06/2016;6;2;1;68378
10/06/2016;6;2;1;69664
17/06/2016;6;2;1;68624
24/06/2016;6;2;1;72465
01/07/2016;6;2;1;71852
08/07/2016;6;2;1;72064
15/07/2016;6;2;1;72003
22/07/2016;6;2;1;72493
29/07/2016;6;2;1;71316
05/08/2016;6;2;1;70915
12/08/2016;6;2;1;70125
19/08/2016;6;2;1;69114
26/08/2016;6;2;1;67178
02/09/2016;6;2;1;64894
09/09/2016;6;2;1;64010
16/09/2016;6;2;1;55535
23/09/2016;6;2;1;56250
30/09/2016;6;2;1;59797
07/10/2016;6;2;1;57932
14/10/2016;6;2;1;60907
21/10/2016;6;2;1;62874
28/10/2016;6;2;1;60969
04/11/2016;6;2;1;55592
11/11/2016;6;2;1;56167
18/11/2016;6;2;1;58973
25/11/2016;6;2;1;59429
02/12/2016;6;2;1;61557
09/12/2016;6;2;1;63146
16/12/2016;6;2;1;61985
23/12/2016;6;2;1;61516
30/12/2016;6;2;1;65177
06/01/2017;6;2;1;67292
13/01/2017;6;2;1;70693
20/01/2017;6;2;1;71597
27/01/2017;6;2;1;73540
03/02/2017;6;2;1;73845
10/02/2017;6;2;1;76285
17/02/2017;6;2;1;75488
24/02/2017;6;2;1;75041
03/03/2017;6;2;1;71217
10/03/2017;6;2;1;69442
17/03/2017;6;2;1;68184
24/03/2017;6;2;1;65648
31/03/2017;6;2;1;65929
07/04/2017;6;2;1;65760
14/04/2017;6;2;1;64484
21/04/2017;6;2;1;67909
28/04/2017;6;2;1;67206
05/05/2017;6;2;1;69766
12/05/2017;6;2;1;70157
19/05/2017;6;2;1;69980
26/05/2017;6;2;1;68426
02/06/2017;6;2;1;69196
09/06/2017;6;2;1;68969
16/06/2017;6;2;1;67605
23/06/2017;6;2;1;68202
30/06/2017;6;2;1;66184
07/07/2017;6;2;1;66271
14/07/2017;6;2;1;64349
21/07/2017;6;2;1;62163
28/07/2017;6;2;1;62597
04/08/2017;6;2;1;63983
11/08/2017;6;2;1;64847
18/08/2017;6;2;1;63034
25/08/2017;6;2;1;62718
01/09/2017;6;2;1;60488
08/09/2017;6;2;1;54833
15/09/2017;6;2;1;53448
22/09/2017;6;2;1;55808
